day_label,date,activity,type,time_1,timezone_1_label
June 26,2025-06-26,Arrivals & Check-in,break,08:30,"Time (ET)"
June 26,2025-06-26,"Welcome (Nia Hughes)",activity,09:00,"Time (ET)"
June 26,2025-06-26,"Module 1:  Introduction to pathway and network analysis (Gary Bader)",activity,09:30,"Time (ET)"
June 26,2025-06-26,Break (30min),break,10:00,"Time (ET)"
June 26,2025-06-26,"Module 2: Finding over-represented pathways in gene lists (Veronique Voisin) ",activity,10:30,"Time (ET)"
June 26,2025-06-26,Module 2 lab (Ruth Isserlin),activity,11:30,"Time (ET)"
June 26,2025-06-26,Lunch (1h),break,12:30,"Time (ET)"
June 26,2025-06-26,"Module 3: Network visualization and analysis with Cytoscape (Ruth Isserlin) ",activity,13:30,"Time (ET)"
June 26,2025-06-26,Module3 Lab1 : Cytoscape basics. custom network(Ruth Isserlin),activity,14:30,"Time (ET)"
June 26,2025-06-26,Break (30min),break,15:00,"Time (ET)"
June 26,2025-06-26,Module 3 part 2: EnrichmentMap lecture,activity,15:30,"Time (ET)"
June 26,2025-06-26,Module 3 Lab 2: EnrichmentMap and AutoAnnotate,activity,16:00,"Time (ET)"
June 26,2025-06-26,Finished,break,17:30,"Time (ET)"
June 27,2025-06-27,Arrivals,break,08:30,"Time (ET)"
June 27,2025-06-27,Module 4: More Depth on Pathway and Network Analysis (Lincoln Stein),activity,09:00,"Time (ET)"
June 27,2025-06-27,Break (30min),break,10:00,"Time (ET)"
June 27,2025-06-27,Module 4: Lab (Reactome  FI)  (Veronique Voisin),activity,10:30,"Time (ET)"
June 27,2025-06-27,Class Photo and Lunch (1h),break,12:30,"Time (ET)"
June 27,2025-06-27,Module 5: Gene Function Prediction (recorded lecture  + 15 min presentation + lab (Veronique Voisin),activity,13:30,"Time (ET)"
June 27,2025-06-27,Break (30min),break,14:30,"Time (ET)"
June 27,2025-06-27,Module 6: Cell-Cell Communication (Gregory Schwartz),activity,15:00,"Time (ET)"
June 27,2025-06-27,Module 6 lab (Veronique Voisin),activity,16:00,"Time (ET)"
June 27,2025-06-27,Finished,break,17:30,"Time (ET)"
June 28,2025-06-28,Arrivals,break,08:30,"Time (ET)"
June 28,2025-06-28,Module 7: Review of the tools in integrated workflow. Part1. (Veronique Voisin/Ruth Isserlin/Chaitra Sarathy),activity,09:00,"Time (ET)"
June 28,2025-06-28,Break (30min),break,10:30,"Time (ET)"
June 28,2025-06-28,Module 7: Review of the tools in integrated workflow. Part2. (Veronique Voisin/Ruth Isserlin/Chaitra Sarathy),activity,11:00,"Time (ET)"
June 28,2025-06-28,Survey and Closing Remarks,activity,12:30,"Time (ET)"
